price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,HouseAge,Renovated,lat,BathRoom*Lat,BedRoom*Lat,long,sqft_living15,sqft_lot15
221900,3,1,1180,5650,1,0,0,3,7,1180,0,59,0,47.5112,47.5112,142.5336,-122.257,1340,5650
538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,63,1,47.721,107.37225,143.163,-122.319,1690,7639
180000,2,1,770,10000,1,0,0,3,6,770,0,82,0,47.7379,47.7379,95.4758,-122.233,2720,8062
604000,4,3,1960,5000,1,0,0,5,7,1050,910,49,0,47.5208,142.5624,190.0832,-122.393,1360,5000
510000,3,2,1680,8080,1,0,0,3,8,1680,0,28,0,47.6168,95.2336,142.8504,-122.045,1800,7503
1.23E+06,4,4.5,5420,101930,1,0,0,3,11,3890,1530,13,0,47.6561,214.45245,190.6244,-122.005,4760,101930
257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,19,0,47.3097,106.446825,141.9291,-122.327,2238,6819
291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,52,0,47.4095,71.11425,142.2285,-122.315,1650,9711
229500,3,1,1780,7470,1,0,0,3,7,1050,730,55,0,47.5123,47.5123,142.5369,-122.337,1780,8113
323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,12,0,47.3684,118.421,142.1052,-122.031,2390,7570
662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,50,0,47.6007,119.00175,142.8021,-122.145,2210,8925
468000,2,1,1160,6000,1,0,0,4,7,860,300,72,0,47.69,47.69,95.38,-122.292,1330,6000
310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,87,0,47.7558,47.7558,143.2674,-122.229,1780,12697
400000,3,1.75,1370,9680,1,0,0,4,7,1370,0,37,0,47.6127,83.322225,142.8381,-122.045,1370,10208
530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,115,0,47.67,95.34,238.35,-122.394,1360,4850
650000,4,3,2950,5000,2,0,3,3,9,1980,970,36,0,47.5714,142.7142,190.2856,-122.375,2140,4000
395000,3,2,1890,14040,2,0,0,3,7,1890,0,20,0,47.7277,95.4554,143.1831,-121.962,1890,14018
485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,98,0,47.6648,47.6648,190.6592,-122.343,1610,4300
189000,2,1,1200,9850,1,0,0,4,7,1200,0,93,0,47.3089,47.3089,94.6178,-122.21,1060,5095
230000,3,1,1250,9774,1,0,0,4,7,1250,0,46,0,47.3343,47.3343,142.0029,-122.306,1280,8850
385000,4,1.75,1620,4980,1,0,0,4,7,860,760,67,0,47.7025,83.479375,190.81,-122.341,1400,4980
2.00E+06,3,2.75,3050,44867,1,0,4,3,9,2330,720,46,0,47.5316,130.7119,142.5948,-122.233,4110,20336
285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,19,0,47.3266,118.3165,236.633,-122.169,2240,7005
252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,29,0,47.3533,71.02995,94.7066,-122.166,1220,8386
329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,29,0,47.3739,106.591275,142.1217,-122.172,2200,6865
233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,73,0,47.3048,94.6096,141.9144,-122.218,1030,4705
937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,99,0,47.6386,83.36755,142.9158,-122.36,1760,3573
667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,105,0,47.6221,47.6221,142.8663,-122.314,1860,3861
438000,3,1.75,1520,6380,1,0,0,3,7,790,730,66,0,47.695,83.46625,143.085,-122.304,1520,6235
719000,4,2.5,2570,7173,2,0,0,3,8,2570,0,10,0,47.7073,119.26825,190.8292,-122.11,2630,6026
580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,11,0,47.5391,118.84775,142.6173,-122.07,2580,3980
280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,9,0,47.7274,71.5911,95.4548,-122.357,1390,1756
687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,85,0,47.6823,83.444025,190.7292,-122.368,1460,5000
535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,85,0,47.6889,47.6889,143.0667,-122.375,1570,5080
322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,33,0,47.4276,130.4259,189.7104,-122.157,2020,8720
696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,84,1,47.6827,119.20675,143.0481,-122.31,1590,3264
550000,4,1,1660,34848,1,0,0,1,5,930,730,81,0,47.6621,47.6621,190.6484,-122.132,2160,11467
640000,4,2,2360,6000,2,0,0,4,8,2360,0,110,0,47.6702,95.3404,190.6808,-122.362,1730,4700
240000,4,1,1220,8075,1,0,0,2,7,890,330,46,0,47.3341,47.3341,189.3364,-122.282,1290,7800
605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,18,0,47.5301,118.82525,190.1204,-122.18,2620,11884
625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,14,0,47.6145,119.03625,190.458,-122.027,2470,5669
775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,30,0,47.445,106.75125,189.78,-122.347,2410,30617
861990,5,2.75,3595,5639,2,0,0,3,9,3595,0,0,0,47.6848,131.1332,238.424,-122.016,3625,5639
685000,3,1,1570,2280,2,0,0,3,7,1570,0,92,0,47.6413,47.6413,142.9239,-122.364,1580,2640
309000,3,1,1280,9656,1,0,0,4,6,920,360,55,0,47.4485,47.4485,142.3455,-122.175,1340,8808
488000,3,2.5,3160,13603,2,0,0,3,8,3160,0,11,0,47.7443,119.36075,143.2329,-121.977,3050,9232
210490,3,1,990,8528,1,0,0,3,6,990,0,49,0,47.3066,47.3066,141.9198,-122.371,1228,8840
785000,4,2.5,2290,13416,2,0,0,4,9,2290,0,33,0,47.6194,119.0485,190.4776,-122.151,2680,13685
450000,3,1.75,1250,5963,1,0,0,4,7,1250,0,62,0,47.6796,83.4393,143.0388,-122.301,970,5100
1.35E+06,3,2.5,2753,65005,1,1,2,5,9,2165,588,62,0,47.4041,118.51025,142.2123,-122.451,2680,72513
228000,3,1,1190,9199,1,0,0,3,7,1190,0,59,0,47.4258,47.4258,142.2774,-122.322,1190,9364
345000,5,2.5,3150,9134,1,0,0,4,8,1640,1510,49,0,47.4934,118.7335,237.467,-122.189,1990,9133
600000,3,1.75,1410,4080,1,0,0,4,7,1000,410,64,0,47.6808,83.4414,143.0424,-122.384,1410,4080
585000,2,1.75,1980,8550,1,0,0,3,7,990,990,34,0,47.6989,83.473075,95.3978,-122.369,1480,6738
920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,88,0,47.6571,107.228475,238.2855,-122.281,2730,6000
885000,4,2.5,2830,5000,2,0,0,3,9,2830,0,19,0,47.6597,119.14925,190.6388,-122.29,1950,5000
292500,4,2.5,2250,4495,2,0,0,3,7,2250,0,6,0,47.3663,118.41575,189.4652,-122.114,2250,4500
301000,3,2.5,2420,4750,2,0,0,3,8,2420,0,12,0,47.3663,118.41575,142.0989,-122.122,2690,4750
951000,5,3.25,3250,14342,2,0,4,4,8,3250,0,46,0,47.588,154.661,237.94,-122.116,2960,11044
430000,4,3,1850,9976,2,0,0,3,8,1850,0,24,0,47.5059,142.5177,190.0236,-122.149,2270,8542
650000,3,2.25,2150,21235,1,0,3,4,8,1590,560,55,0,47.4336,106.7256,142.3008,-122.339,2570,18900
289000,3,1.75,1260,8400,1,0,0,3,7,1260,0,60,0,47.4366,83.01405,142.3098,-122.335,1290,8750
505000,3,1.75,2519,8690,2,0,0,5,8,2519,0,41,0,47.4428,83.0249,142.3284,-122.344,2500,9500
549000,3,1.75,1540,1044,3,0,0,3,8,1540,0,0,0,47.6765,83.433875,143.0295,-122.32,1580,3090
425000,3,2.25,1660,6000,1,0,0,3,7,1110,550,35,0,47.6113,107.125425,142.8339,-122.297,1440,4080
317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,89,0,47.5747,130.830425,142.7241,-122.304,1440,4000
975000,4,2.5,2720,11049,2,0,0,3,10,2720,0,25,0,47.5815,118.95375,190.326,-122.192,2750,11049
287000,4,2.5,2240,4648,2,0,0,3,7,2240,0,9,0,47.3378,118.3445,189.3512,-122.257,2221,4557
204000,3,1,1000,12070,1,0,0,4,7,1000,0,46,0,47.3621,47.3621,142.0863,-122.11,1010,12635
1.33E+06,5,2.25,3200,20158,1,0,0,3,8,1600,1600,49,0,47.6303,107.168175,238.1515,-122.215,3390,20158
1.04E+06,5,3.25,4770,50094,1,0,0,4,11,3070,1700,41,0,47.6525,154.870625,238.2625,-122.16,3530,38917
325000,3,2,1260,5612,1,0,0,4,7,1260,0,43,0,47.7362,95.4724,143.2086,-122.179,1640,4745
571000,4,2,2750,7807,1.5,0,0,5,7,2250,500,98,0,47.7168,95.4336,190.8672,-122.287,1510,7807
360000,4,2.5,2380,5000,2,0,0,3,8,2380,0,9,0,47.3608,118.402,189.4432,-122.036,2420,5000
349000,3,1.75,1790,50529,1,0,0,5,7,1090,700,50,0,47.3511,82.864425,142.0533,-122.073,1940,50529
832500,4,4,3430,35102,2,0,0,4,10,2390,1040,28,0,47.5822,190.3288,190.3288,-121.987,3240,35020
380000,4,1.75,1760,7300,1,0,0,3,7,880,880,58,0,47.6034,83.30595,190.4136,-122.125,1680,7500
480000,3,1,1040,5060,1,0,0,3,7,1040,0,74,0,47.5636,47.5636,142.6908,-122.394,890,5060
410000,3,1,1410,5060,1,0,0,4,7,910,500,58,0,47.7073,47.7073,143.1219,-122.34,1130,5693
720000,4,2.5,3450,39683,2,0,0,3,10,3450,0,13,0,47.342,118.355,189.368,-122.025,3350,39750
390000,3,2.5,2350,5100,2,0,0,3,8,2350,0,11,0,47.3512,118.378,142.0536,-122.008,2350,5363
360000,4,2.5,1900,5889,2,0,0,3,7,1900,0,22,0,47.349,118.3725,189.396,-122.031,1870,6405
355000,2,1,2020,6720,1,0,0,3,7,1010,1010,66,0,47.5474,47.5474,95.0948,-122.291,1720,6720
356000,3,1.5,1680,8712,1,0,0,3,8,1680,0,51,0,47.4811,71.22165,142.4433,-122.149,1850,8797
315000,3,1,960,6634,1,0,0,3,6,960,0,62,0,47.7264,47.7264,143.1792,-122.31,1570,7203
940000,3,1.5,2140,3600,2,0,0,3,9,1900,240,89,0,47.6337,71.45055,142.9011,-122.365,2020,4800
305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,53,0,47.2909,106.404525,236.4545,-122.189,1590,8165
461000,3,3.25,2770,6278,2,0,0,3,9,1980,790,8,0,47.5228,154.4491,142.5684,-122.199,1900,7349
215000,2,2.25,1610,2040,2,0,0,4,7,1610,0,35,0,47.518,106.9155,95.036,-122.194,1950,2025
335000,2,1.75,1030,1066,2,0,0,3,7,765,265,8,0,47.5394,83.19395,95.0788,-122.387,1030,1106
243500,4,2.5,1980,7403,2,0,0,3,7,1980,0,26,0,47.2897,118.22425,189.1588,-122.372,1980,7510
1.10E+06,5,2.75,3520,6353,2,0,0,4,10,3520,0,14,0,47.6506,131.03915,238.253,-122.391,2520,6250
153000,3,1,1200,10500,1,0,0,3,7,1200,0,53,0,47.322,47.322,141.966,-122.351,1350,10500
430000,3,1.5,1580,5000,1,0,0,3,8,1290,290,75,0,47.687,71.5305,143.061,-122.386,1570,4500
700000,3,1.5,1580,5000,1,0,0,3,8,1290,290,75,0,47.687,71.5305,143.061,-122.386,1570,4500
905000,4,2.5,3300,10250,1,0,0,3,7,2390,910,68,1,47.5873,118.96825,190.3492,-122.249,1950,6045
247500,3,1.75,1960,15681,1,0,0,3,7,1960,0,48,0,47.3576,82.8758,142.0728,-122.277,1750,15616
199000,4,1.5,1160,6400,1,0,0,4,7,1160,0,39,0,47.3036,70.9554,189.2144,-122.378,1160,6400
314000,3,1.75,1810,41800,1,0,0,5,7,1210,600,34,0,47.4109,82.969075,142.2327,-121.958,1650,135036
437500,3,2.5,2320,36847,2,0,2,3,9,2320,0,22,0,47.4838,118.7095,142.4514,-121.714,2550,35065
850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,104,0,47.6415,119.10375,142.9245,-122.315,2200,4500
555000,3,2,1980,3478,1.5,0,0,4,7,1440,540,85,0,47.6775,95.355,143.0325,-122.372,1610,3478
699950,3,2.25,2190,107593,2,0,0,4,8,2190,0,31,0,47.7731,107.489475,143.3193,-122.08,2570,47777
1.09E+06,3,2.5,2920,8113,2,0,0,3,8,2920,0,64,1,47.5814,118.9535,142.7442,-122.196,2370,8113
290000,3,1,1210,33919,1,0,0,3,7,1210,0,60,0,47.4375,47.4375,142.3125,-122.184,1640,14910
375000,3,2.5,2340,10005,1,0,0,4,8,1460,880,37,0,47.4431,118.60775,142.3293,-122.133,2250,8162
460000,3,1,1670,4005,1.5,0,0,4,7,1170,500,75,0,47.6878,47.6878,143.0634,-122.38,1240,4005
188500,2,1.75,1240,2493,1,0,0,4,8,1240,0,29,0,47.3813,82.917275,94.7626,-122.322,1270,4966
680000,4,2.5,3140,28037,2,0,0,4,10,3140,0,24,0,47.7304,119.326,190.9216,-122.082,2990,35001
470000,5,1.75,2030,12342,2,0,0,4,7,2030,0,72,0,47.6417,83.372975,238.2085,-122.109,2500,9433
597750,4,2.5,2310,9624,2,0,0,3,8,2310,0,30,0,47.5386,118.8465,190.1544,-122.053,1940,9636
570000,3,1.75,1260,3328,1,0,0,5,6,700,560,110,0,47.6823,83.444025,143.0469,-122.349,1380,3536
272500,3,1.75,1540,12600,1,0,0,4,7,1160,380,34,0,47.3624,82.8842,142.0872,-122.031,1540,11656
329950,3,1.75,2080,5969,1,0,2,3,7,1080,1000,43,0,47.5474,83.20795,142.6422,-122.295,2090,5500
480000,4,2.5,3230,16171,2,0,3,3,9,2520,710,13,0,47.3183,118.29575,189.2732,-122.253,2640,8517
740500,3,3.5,4380,6350,2,0,0,3,8,2780,1600,114,1,47.6981,166.94335,143.0943,-122.368,1830,6350
518500,3,3.5,1590,1102,3,0,0,3,8,1590,0,4,0,47.6824,166.8884,143.0472,-122.347,1620,3166
205425,2,1,880,6780,1,0,0,4,6,880,0,69,0,47.5009,47.5009,95.0018,-122.248,1190,6780
171800,4,2,1570,9600,1,0,0,3,6,1570,0,65,0,47.4965,94.993,189.986,-122.303,1880,9000
535000,4,1,1610,2982,1.5,0,0,4,7,1610,0,90,0,47.587,47.587,190.348,-122.294,1610,4040
660000,3,2.5,2400,6474,1,0,2,3,8,1560,840,51,0,47.7728,119.432,143.3184,-122.386,2340,10856
391500,3,2,1450,9132,1,0,0,3,7,1450,0,27,0,47.7288,95.4576,143.1864,-122.226,1580,9104
395000,2,1,770,6000,1,0,0,3,6,770,0,62,0,47.6999,47.6999,95.3998,-122.364,1710,6000
445000,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,90,0,47.5299,83.177325,190.1196,-122.266,1850,4400
770000,3,2.25,2910,10204,2,0,0,3,9,2910,0,24,0,47.6897,107.301825,143.0691,-122.098,2700,13992
1.45E+06,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,101,1,47.6141,130.938775,190.4564,-122.212,3060,11275
445000,3,2.25,2100,8201,1,0,2,3,8,1620,480,47,0,47.5091,106.895475,142.5273,-122.244,2660,8712
260000,4,2.25,2160,8811,1,0,0,3,8,1360,800,36,0,47.3129,106.454025,189.2516,-122.39,2090,8400
822500,5,3.5,2320,4960,2,0,0,5,7,1720,600,88,0,47.6763,166.86705,238.3815,-122.352,1700,4960
